"D:\Lenart Golob\Dokumenti\Diplomska\calculating_lenart_stat\venv\Scripts\python.exe" "D:/Lenart Golob/Dokumenti/Diplomska/calculating_lenart_stat/main.py"
+-----+--------------------------+------+-------+--------------------+--------------------+---------------------+--------------------+--------------------+--------------------+
| Num |          player          | team | stop1 |       stop2        |        stop        | player_contribution |    team_defense    |    player_team     |     final_pdef     |
+-----+--------------------------+------+-------+--------------------+--------------------+---------------------+--------------------+--------------------+--------------------+
| 265 |      Jaylen Nowell       | MIN  |  0.0  | 0.5954962468723938 | 0.5954962468723938 |  0.5196041001354859 | 1.0483193277310923 | 0.5447110209403517 | 1.1402072678127455 |
| 264 |     Kevin Porter Jr.     | HOU  |  0.1  | 0.6553472590795361 | 0.7053472590795361 |  0.6852709641996775 |        0.75        | 0.5139532231497581 | 1.2193004822292943 |
| 263 | Kentavious Caldwell-Pope | DEN  |  0.1  | 0.5844927591174462 | 0.6344927591174463 |  0.6773910233795247 | 0.8886554621848741 | 0.6019672329612165 | 1.2364599920786628 |
| 262 |        Saddiq Bey        | ATL  |  0.0  | 0.6615361285920085 | 0.6615361285920085 |  0.6233749531873393 | 0.9684873949579832 | 0.6037307844944609 | 1.2652669130864695 |
| 261 |       Luke Kennard       | MEM  |  0.0  | 0.7300070134202746 | 0.7300070134202746 |  0.5625633275860572 | 0.9936974789915967 | 0.5590177603953888 | 1.2890247738156635 |
| 260 |     Donovan Mitchell     | CLE  |  0.3  |       0.5625       |       0.7125       |  0.5723163913014461 | 1.0273109243697478 | 0.5879468809798468 | 1.3004468809798468 |
| 259 |     Dennis Schroder      | LAL  |  0.0  | 0.7456640003032832 | 0.7456640003032832 |  0.7195315410823414 | 0.8214285714285715 | 0.5910437658890663 | 1.3367077661923494 |
| 258 |       Eric Gordon        | LAC  |  0.1  | 0.6877037682917584 | 0.7377037682917584 |  0.6982451085833972 | 0.8802521008403361 | 0.614631723732024  | 1.3523354920237824 |
| 257 |       Will Barton        | TOR  |  0.1  | 0.6233035105011753 | 0.6733035105011753 |  0.6237956038308087 | 1.0903361344537814 | 0.6801468873701464 | 1.3534503978713217 |
| 256 |       Jamal Murray       | DEN  |  0.1  | 0.6456990674046555 | 0.6956990674046556 |  0.742735510313663  | 0.8886554621848741 | 0.6600359681989065 | 1.355735035603562  |
| 255 |      Malik Beasley       | LAL  |  0.0  | 0.7581128212904694 | 0.7581128212904694 |  0.7315440820470723 | 0.8214285714285715 | 0.6009112102529524 | 1.3590240315434219 |
| 254 |     Bojan Bogdanovic     | DET  |  0.1  | 0.6919260368488893 | 0.7419260368488894 |  0.699076213605455  | 0.8970588235294117 | 0.6271124857343052 | 1.3690385225831947 |
| 253 |       Jalen Green        | HOU  |  0.1  | 0.7574873000227463 | 0.8074873000227464 |  0.7845037937592457 |        0.75        | 0.5883778453194343 | 1.3958651453421806 |
| 252 |      Austin Rivers       | MIN  |  0.0  | 0.730836302979756  | 0.730836302979756  |  0.6376959410753691 | 1.0483193277310923 | 0.6685089802449772 | 1.3993452832247333 |
| 251 |      Damian Lillard      | POR  |  0.1  | 0.698185988323603  | 0.7481859883236031 |  0.7037393252978061 | 0.9894957983193278 | 0.6963471054942578 | 1.4445330938178609 |
| 250 |       De'Aaron Fox       | SAC  |  0.1  | 0.7045264993555237 | 0.7545264993555237 |  0.8374187488199218 | 0.8256302521008405 | 0.6913982527021625 | 1.4459247520576861 |
| 249 |     Patrick Beverley     | CHI  |  0.2  | 0.6813206080824933 | 0.7813206080824933 |  0.7410722321973052 | 0.9012605042016807 | 0.6678991336400083 | 1.4492197417225015 |
| 248 |      Malaki Branham      | SAS  |  0.1  | 0.7337364470391994 | 0.7837364470391994 |  0.7630747803491038 | 0.8760504201680672 | 0.668491981944488  | 1.4522284289836875 |
| 247 |        Josh Green        | DAL  |  0.1  | 0.6970534157252257 | 0.7470534157252258 |  0.7189929659904482 | 1.0063025210084033 | 0.7235244342634972 | 1.470577849988723  |
| 246 |     Lonnie Walker IV     | LAL  |  0.1  | 0.7772101751459551 | 0.8272101751459552 |  0.7982198575761684 | 0.8214285714285715 | 0.6556805972947098 | 1.482890772440665  |
| 245 |       Terry Rozier       | CHA  |  0.1  | 0.7662635529608007 | 0.8162635529608008 |  0.6940623330693143 | 0.9642857142857142 | 0.6692743926025531 | 1.4855379455633537 |
| 244 |        Seth Curry        | BKN  |  0.1  | 0.7664246720752143 | 0.8164246720752143 |   0.68131272871107  | 0.9978991596638657 | 0.679881399449072  | 1.4963060715242862 |
| 243 |    Tyrese Haliburton     | IND  |  0.1  | 0.8317442565774511 | 0.8817442565774511 |  0.7529662717249126 | 0.8214285714285715 | 0.6185080089168925 | 1.5002522654943435 |
| 242 |       Monte Morris       | WAS  |  0.0  | 0.8404541663507469 | 0.8404541663507469 |  0.704809541451165  | 0.9600840336134453 | 0.6766763874856773 | 1.5171305538364241 |
| 241 |       Bones Hyland       | LAC  |  0.1  | 0.7852850860565623 | 0.8352850860565624 |  0.7906069491310913 | 0.8802521008403361 | 0.6959334279116118 | 1.5312185139681742 |
| 240 |      Cameron Payne       | PHX  |  0.1  | 0.709938206080825  | 0.7599382060808251 |  0.7168115169267004 | 1.0861344537815125 | 0.7785536854014792 | 1.5384918914823043 |
| 239 |     Anfernee Simons      | POR  |  0.1  |  0.76171430737736  | 0.8117143073773601 |  0.7634936872959059 | 0.9894957983193278 | 0.7554737956226296 | 1.5671881029999897 |
